,title,rating,completion_time,modules_number
62,IBM iOS and Android Mobile App Developer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,14 course series
63,Generative AI for Software Development Skill Certificate,4.7,Earn a career credential that demonstrates your expertise,3 course series
64,IBM Front-End Developer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,11 course series
65,Business and Financial Modeling Specialization,4.5,Get in-depth knowledge of a subject,5 course series
66,Generative AI Fundamentals Specialization,4.7,Get in-depth knowledge of a subject,5 course series
67,Generative AI for Product Managers Specialization,4.5,Get in-depth knowledge of a subject,4 course series
68,Generative AI for Data Analysts Specialization,4.8,Get in-depth knowledge of a subject,3 course series
69,Generative AI for Data Scientists Specialization,4.7,Get in-depth knowledge of a subject,3 course series
70,Ask Questions to Make Data-Driven Decisions,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
71,Generative AI for Mobile App Developers Specialization,4.6,Get in-depth knowledge of a subject,4 course series
72,Generative AI for Software Developers Specialization,4.6,Get in-depth knowledge of a subject,3 course series
73,Project Initiation: Starting a Successful Project,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
74,Generative AI for Human Resources (HR) Professionals Specialization,4.8,Get in-depth knowledge of a subject,3 course series
75,DeepLearning.AI Data Engineering Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,4 course series
76,Generative AI for Project Managers  Specialization,4.7,Get in-depth knowledge of a subject,3 course series
77, IBM and ISC2 Cybersecurity Specialist Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,12 course series
78,IBM Java Developer Professional Certificate,4.9,Earn a career credential that demonstrates your expertise,11 course series
79,Generative AI for Data Engineers  Specialization,4.7,Get in-depth knowledge of a subject,3 course series
80,IBM Generative AI for Cybersecurity Professionals Specialization,4.8,Get in-depth knowledge of a subject,3 course series
81,Generative AI for Customer Support  Specialization,4.9,Get in-depth knowledge of a subject,3 course series
82,Generative AI for Business Intelligence (BI) Analysts Specialization,4.8,Get in-depth knowledge of a subject,3 course series
83,Foundations of User Experience (UX) Design,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
84,IBM IT Scrum Master Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,8 course series
85,Financial Markets,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
86,Play It Safe: Manage Security Risks,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
87,SAP Technology Consultant  Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,7 course series
88,Generative AI Automation Specialization,4.9,Get in-depth knowledge of a subject,4 course series
89,IBM Product Manager Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,7 course series
90,Agentic AI and AI Agents for Leaders Specialization,4.8,Get in-depth knowledge of a subject,3 course series
91,Prompt Engineering Specialization,4.8,Get in-depth knowledge of a subject,3 course series
92,Meta React Native Specialization,4.8,Get in-depth knowledge of a subject,8 course series
93,Generative AI Assistants Specialization,4.9,Get in-depth knowledge of a subject,3 course series
94,ChatGPT: Master Free AI Tools to Supercharge Productivity Specialization,4.9,Get in-depth knowledge of a subject,3 course series
95,Generative AI Leadership & Strategy Specialization,4.8,Get in-depth knowledge of a subject,3 course series
96,Adobe Graphic Designer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,5 course series
97,Prompt Engineering for Law Specialization,4.8,Get in-depth knowledge of a subject,3 course series
98,Generative AI Cybersecurity & Privacy for Leaders Specialization,4.9,Get in-depth knowledge of a subject,4 course series
99,"ChatGPT: Excel at Personal Automation with GPTs, AI & Zapier Specialization",4.9,Get in-depth knowledge of a subject,3 course series
100,Master Microsoft Office 365 and Power Platform  Specialization,4.6,Get in-depth knowledge of a subject,8 course series
101,HRCI Human Resource Associate Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,5 course series
102,Arizona State University TESOL Professional Certificate,4.9,Earn a career credential that demonstrates your expertise,8 course series
103,Become a CBRS Certified Professional Installer by Google,4.5,Gain insight into a topic and learn the fundamentals.,7 modules
104,Advanced Learning Algorithms,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
105,Prompt Engineering for Educators Specialization,4.9,Get in-depth knowledge of a subject,3 course series
106,AI Agents and Agentic AI in Python: Powered by Generative AI Specialization,4.9,Get in-depth knowledge of a subject,3 course series
107,ChatGPT for Project Management - Leveraging AI for Success Specialization,4.8,Get in-depth knowledge of a subject,3 course series
108,ChatGPT + Excel: AI-Enhanced Data Analysis & Insight Specialization,4.9,Get in-depth knowledge of a subject,3 course series
109,ChatGPT + Zapier: AI-Powered Email Mastery Specialization,4.9,Get in-depth knowledge of a subject,4 course series
110,Adobe Marketing Specialist Professional Certificate,4.9,Earn a career credential that demonstrates your expertise,5 course series
111,Generative AI and ChatGPT for K-12 Educators Specialization,4.9,Get in-depth knowledge of a subject,3 course series
112,Adobe Content Creator Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,4 course series
113,Microsoft 365 Fundamentals Specialization,4.7,Get in-depth knowledge of a subject,3 course series
114,Meta Android Developer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,12 course series
115,Meta Back-End Developer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,9 course series
116,Google Business Intelligence Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,3 course series
117,Natural Language Processing Specialization,4.6,Get in-depth knowledge of a subject,4 course series
118,IBM Cybersecurity Analyst Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,14 course series
119,Meta iOS Developer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,12 course series
120,Foundations of Positive Psychology  Specialization,4.8,Get in-depth knowledge of a subject,5 course series
121,Microsoft Business Analyst Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,6 course series
122,Introduction to Psychology ,4.9,Gain insight into a topic and learn the fundamentals.,7 modules
123,Connect and Protect: Networks and Network Security,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
124,Prepare Data for Exploration,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
125,"BI Foundations with SQL, ETL and Data Warehousing Specialization",4.6,Get in-depth knowledge of a subject,5 course series
126,IBM Data Architecture  Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,13 course series
127,Attract and Engage Customers with Digital Marketing,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
128,The Bits and Bytes of Computer Networking,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
129,Meta Database Engineer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,9 course series
130,Project Planning: Putting It All Together,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
131,Google Agile Essentials,4.7,Gain insight into a topic and learn the fundamentals.,7 modules
132,IBM IT Support  Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,9 course series
133,Neural Networks and Deep Learning,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
134,Business Analytics Specialization,4.6,Get in-depth knowledge of a subject,5 course series
135,IBM Data Warehouse Engineer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,9 course series
136,Indigenous Canada,4.8,Gain insight into a topic and learn the fundamentals.,12 modules
137,Writing in the Sciences,4.9,Gain insight into a topic and learn the fundamentals.,8 modules
138,"TESOL Certificate, Part 1: Teach English Now! Specialization",4.9,Get in-depth knowledge of a subject,4 course series
139,DeepLearning.AI TensorFlow Developer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,4 course series
140,Information Technology (IT) and Cloud Fundamentals Specialization,4.8,Get in-depth knowledge of a subject,6 course series
141,Generative AI Engineering with LLMs Specialization,4.5,Get in-depth knowledge of a subject,7 course series
142,Data Analysis and Presentation Skills: the PwC Approach Specialization,4.7,Get in-depth knowledge of a subject,5 course series
143,"DevOps, Cloud, and Agile Foundations Specialization",4.8,Get in-depth knowledge of a subject,3 course series
144,Excel Skills for Business Specialization,4.9,Get in-depth knowledge of a subject,4 course series
145,IBM Project Manager  Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,8 course series
146,Digital Product Management Specialization,4.8,Get in-depth knowledge of a subject,5 course series
147,ADP Entry-Level Payroll Specialist Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,5 course series
148,Workday Basics Series,4.8,Gain insight into a topic and learn the fundamentals.,2 modules
149,Getting started with Google Workspace Specialization,4.7,Get in-depth knowledge of a subject,9 course series
150,"Start the UX Design Process: Empathize, Define, and Ideate",4.8,Gain insight into a topic and learn the fundamentals.,4 modules
151,Introduction to Healthcare,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
152,Microsoft Cloud Support Associate Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,12 course series
153,Digital Marketing Specialization,4.6,Get in-depth knowledge of a subject,7 course series
154,Agile Project Management,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
155,IBM Applied DevOps Engineering Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,9 course series
156,Process Data from Dirty to Clean,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
157,Regulatory Compliance Specialization,4.8,Get in-depth knowledge of a subject,4 course series
158,Meta Marketing Analytics Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,8 course series
159,Microsoft IT Support Specialist Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,6 course series
160,Tools of the Trade: Linux and SQL,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
161,Business Strategy Specialization,4.8,Get in-depth knowledge of a subject,5 course series
162,Graphic Design Specialization,4.7,Get in-depth knowledge of a subject,5 course series
163,Leading the Modern Day Business Specialization,4.7,Get in-depth knowledge of a subject,4 course series
164,Cloud Application Development Foundations Specialization,4.6,Get in-depth knowledge of a subject,5 course series
165,Cybersecurity Fundamentals Specialization,4.8,Get in-depth knowledge of a subject,4 course series
166,Project Execution: Running the Project,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
167,Medical Billing and Coding Fundamentals Specialization,4.8,Get in-depth knowledge of a subject,3 course series
168,Learn SQL Basics for Data Science Specialization,4.5,Get in-depth knowledge of a subject,3 course series
169,"IBM Deep Learning with PyTorch, Keras and Tensorflow  Professional Certificate",4.5,Earn a career credential that demonstrates your expertise,5 course series
170,Preparing for Google Cloud Certification: Cloud Architect Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,6 course series
171,Construction Management Specialization,4.8,Get in-depth knowledge of a subject,5 course series
172,Entrepreneurship Specialization,4.8,Get in-depth knowledge of a subject,5 course series
173,Supply Chain Management Specialization,4.8,Get in-depth knowledge of a subject,5 course series
174,Preparing for Google Cloud Certification: Cloud Engineer Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,5 course series
175,The Science of Well-Being,4.9,Gain insight into a topic and learn the fundamentals.,10 modules
176,Fintech: Foundations & Applications of Financial Technology Specialization,4.6,Get in-depth knowledge of a subject,4 course series
177,AI Python for Beginners,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
178,Microsoft Cybersecurity Analyst Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,9 course series
179,Architecting with Google Compute Engine Specialization,4.7,Get in-depth knowledge of a subject,5 course series
180,Pharmacy Technician Fundamentals Specialization,4.7,Get in-depth knowledge of a subject,4 course series
181,"Unsupervised Learning, Recommenders, Reinforcement Learning",4.9,Gain insight into a topic and learn the fundamentals.,3 modules
182,Introduction to Statistics,4.6,Gain insight into a topic and learn the fundamentals.,12 modules
183,Microsoft Project Management  Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,9 course series
184,Reinforcement Learning Specialization,4.8,Get in-depth knowledge of a subject,4 course series
185,Meta Data Analyst Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,5 course series
186,Google Cloud Cybersecurity Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,5 course series
187,Psychological First Aid,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
188,Analyze Data to Answer Questions,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
189,Improve Your English Communication Skills Specialization,4.8,Get in-depth knowledge of a subject,4 course series
190,Product Management Certification Specialization,4.7,Get in-depth knowledge of a subject,4 course series
191,Operating Systems and You: Becoming a Power User,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
192,Financial Engineering and Risk Management Specialization,4.6,Get in-depth knowledge of a subject,5 course series
193,Private Equity and Venture Capital,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
194,Preparing for Google Cloud Certification: Machine Learning Engineer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,7 course series
195,Algorithms Specialization,4.8,Get in-depth knowledge of a subject,4 course series
196,Certified in Cybersecurity Specialization,4.7,Get in-depth knowledge of a subject,5 course series
197,Personal Branding: Stand Out and Succeed ,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
198,Mergers and Acquisitions  Specialization,4.6,Get in-depth knowledge of a subject,6 course series
199,Introduction to Programming with Python and Java Specialization,4.4,Get in-depth knowledge of a subject,4 course series
200,From Likes to Leads: Interact with Customers Online,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
201,AI for Medicine Specialization,4.7,Get in-depth knowledge of a subject,3 course series
202,Think like a CFO Specialization,4.8,Get in-depth knowledge of a subject,4 course series
203,AI Fundamentals for Non-Data Scientists,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
204,Capstone: Applying Project Management in the Real World,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
205,Microsoft Excel Professional Certificate,4.1,Earn a career credential that demonstrates your expertise,4 course series
206,Data Analysis with R Programming,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
207,Salesforce Sales Operations Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,4 course series
208,Strategic Leadership and Management Specialization,4.8,Get in-depth knowledge of a subject,7 course series
209,The Business of Health Care Specialization,4.7,Get in-depth knowledge of a subject,4 course series
210,"Assets, Threats, and Vulnerabilities",4.8,Gain insight into a topic and learn the fundamentals.,4 modules
211,Machine Learning in Production,4.8,Gain insight into a topic and learn the fundamentals.,3 modules
212,AWS Cloud Solutions Architect  Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,4 course series
213,Amazon Junior Software Developer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,7 course series
214,"Python for Data Science, AI & Development",4.6,Gain insight into a topic and learn the fundamentals.,5 modules
215,Epic Games Game Design Professional Certificate,4.2,Earn a career credential that demonstrates your expertise,8 course series
216,Google Cloud Digital Leader Training Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,6 course series
217,Preparing for Google Cloud Certification: Cloud Developer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,8 course series
218,Search Engine Optimization (SEO) Specialization,4.7,Get in-depth knowledge of a subject,5 course series
219,Preparing for Google Cloud Certification: Cloud Security Engineer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,14 course series
220,Preparing for Google Cloud Certification: Cloud DevOps Engineer Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,5 course series
221,Foundations of Management Specialization,4.7,Get in-depth knowledge of a subject,5 course series
222,Programming for Everybody (Getting Started with Python),4.8,Gain insight into a topic and learn the fundamentals.,7 modules
223,AWS Fundamentals Specialization,4.7,Get in-depth knowledge of a subject,3 course series
224,IBM Product Owner Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,6 course series
225,Google Cloud Data Analytics  Professional Certificate,4.5,Earn a career credential that demonstrates your expertise,5 course series
226,Tableau Business Intelligence Analyst  Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,8 course series
227,Linear Algebra for Machine Learning and Data Science,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
228,Preparing for Google Cloud Certification: Cloud Network Engineer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,11 course series
229,Crash Course on Python,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
230,Share Data Through the Art of Visualization,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
231,Bookkeeping Basics,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
232,Project Management Specialization,4.8,Get in-depth knowledge of a subject,3 course series
233,Google Cloud Database Engineer Specialization,4.7,Get in-depth knowledge of a subject,13 course series
234,Machine Learning on Google Cloud Specialization,4.6,Get in-depth knowledge of a subject,4 course series
235,"TESOL Certificate, Part 2: Teach English Now! Specialization",4.9,Get in-depth knowledge of a subject,4 course series
236,Stanford Introduction to Food and Health,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
237,Medical Office Procedures and Administration Fundamentals Specialization,4.6,Get in-depth knowledge of a subject,3 course series
238,Agile Development Specialization,4.7,Get in-depth knowledge of a subject,4 course series
239, System Administration and IT Infrastructure Services,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
240,Workday in Action Series,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
241,Microsoft Python Development  Professional Certificate,4.0,Earn a career credential that demonstrates your expertise,6 course series
242,AWS Cloud Technology Consultant Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,9 course series
243,The Materiality of ESG Factors Specialization,4.7,Get in-depth knowledge of a subject,4 course series
244,Introduction to Cosmetic Science and Ingredients Specialization,4.7,Get in-depth knowledge of a subject,4 course series
245,Prompt Engineering for ChatGPT,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
246,IBM Program Manager Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,6 course series
247,IBM Machine Learning Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,6 course series
248,DevOps on AWS Specialization,4.7,Get in-depth knowledge of a subject,4 course series
249,Renew your CBRS Professional Installer certification,What you'll learn,Gain insight into a topic and learn the fundamentals.,7 modules
250,Build Wireframes and Low-Fidelity Prototypes,4.9,Gain insight into a topic and learn the fundamentals.,3 modules
251,AWS Cloud Support Associate Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,7 course series
252,Entrepreneurship: Growing Your Business Specialization,4.8,Get in-depth knowledge of a subject,4 course series
253,Mental Health Care Fundamentals Specialization,4.8,Get in-depth knowledge of a subject,3 course series
254,Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,5 course series
255,Intellectual Property Law Specialization,4.8,Get in-depth knowledge of a subject,4 course series
256,Management of Fashion and Luxury Companies,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
257,"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",4.9,Gain insight into a topic and learn the fundamentals.,3 modules
258,Business Analytics with Excel: Elementary to Advanced,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
259,Leadership Skills,4.9,Gain insight into a topic and learn the fundamentals.,7 modules
260,"Data Engineering, Big Data, and Machine Learning on GCP Specialization",4.6,Get in-depth knowledge of a subject,4 course series
261,Career Success Specialization,4.6,Get in-depth knowledge of a subject,10 course series
262,Google Data Analytics Capstone: Complete a Case Study,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
263,Security in Google Cloud Specialization,4.7,Get in-depth knowledge of a subject,4 course series
264,Introduction to Generative AI for Software Development,4.7,Gain insight into a topic and learn the fundamentals.,3 modules
265,English for Career Development,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
266,Risk Management Specialization,4.6,Get in-depth knowledge of a subject,4 course series
267,IT Fundamentals for Cybersecurity Specialization,4.6,Get in-depth knowledge of a subject,4 course series
268,Sound the Alarm: Detection and Response,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
269,IBM Introduction to Machine Learning Specialization,4.7,Get in-depth knowledge of a subject,4 course series
270,Preparatory Certificate in Finance and Financial Markets Specialization,4.7,Get in-depth knowledge of a subject,10 course series
271,Artificial Intelligence in Marketing,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
272,Primeros Auxilios PsicolÃ³gicos (PAP),4.8,Gain insight into a topic and learn the fundamentals.,6 modules
273,Human Resource Management: HR for People Managers Specialization,4.8,Get in-depth knowledge of a subject,5 course series
274,Mathematics for Machine Learning Specialization,4.6,Get in-depth knowledge of a subject,3 course series
275,Modern and Contemporary Art and Design Specialization,4.8,Get in-depth knowledge of a subject,4 course series
276,Microsoft Power BI and Power Platform for Productivity Specialization,4.6,Get in-depth knowledge of a subject,10 course series
277,Data Science Specialization,4.5,Get in-depth knowledge of a subject,10 course series
278,Management Consulting Specialization,4.9,Get in-depth knowledge of a subject,5 course series
279,Python 3 Programming Specialization,4.8,Get in-depth knowledge of a subject,5 course series
280,Clinical Trials: Good Clinical Practice  Specialization,4.7,Get in-depth knowledge of a subject,3 course series
281,Data Structures and Algorithms Specialization,4.6,Get in-depth knowledge of a subject,6 course series
282,Introduction to Data Engineering,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
283,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,4.8,Gain insight into a topic and learn the fundamentals.,9 modules
284,Think Outside the Inbox: Email Marketing,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
285,AI in Education: Leveraging ChatGPT for Teaching,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
286,Introduction to Financial Accounting,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
287,Six Sigma Yellow Belt Specialization,4.7,Get in-depth knowledge of a subject,4 course series
288,UI / UX Design Specialization,4.7,Get in-depth knowledge of a subject,4 course series
289,Instructional Design Foundations and Applications,4.0,Gain insight into a topic and learn the fundamentals.,5 modules
290,AI Infrastructure and Operations Fundamentals,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
291,AI Product Management Specialization,4.7,Get in-depth knowledge of a subject,3 course series
292,Data Science: Foundations using R Specialization,4.6,Get in-depth knowledge of a subject,5 course series
293,Automate Cybersecurity Tasks with Python,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
294,ISC2 Systems Security Certified Practitioner (SSCP),4.8,Earn a career credential that demonstrates your expertise,7 course series
295, IT Security: Defense against the digital dark arts ,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
296,Connected Leadership,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
297,Genomic Data Science Specialization,4.4,Get in-depth knowledge of a subject,6 course series
298,Introduction to Generative AI ,4.7,Gain insight into a topic and learn the fundamentals.,1 module
299,Introduction to Systematic Review and Meta-Analysis,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
300,Methods and Statistics in Social Sciences Specialization,4.6,Get in-depth knowledge of a subject,5 course series
301,Introduction to Data Analytics,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
