title,rating,completion_time,modules_number
Introduction to Finance and Accounting Specialization,4.4,Get in-depth knowledge of a subject,4 course series
IBM Data Management Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,12 course series
Introduction to Generative AI Learning Path Specialization,4.6,Get in-depth knowledge of a subject,4 course series
Python for Everybody Specialization,4.8,Get in-depth knowledge of a subject,5 course series
Generative AI for Everyone,4.8,Gain insight into a topic and learn the fundamentals.,3 modules
Meta Social Media Marketing Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,6 course series
Finance & Quantitative Modeling for Analysts Specialization,4.5,Get in-depth knowledge of a subject,4 course series
Technical Support Fundamentals,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
IBM Business Intelligence (BI) Analyst Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,10 course series
IBM Business Analyst Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,7 course series
Intuit Academy Bookkeeping Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,4 course series
IBM AI Engineering Professional Certificate,4.5,Earn a career credential that demonstrates your expertise,13 course series
IBM Full-Stack JavaScript Developer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,12 course series
Mathematics for Machine Learning and Data Science Specialization,4.6,Get in-depth knowledge of a subject,3 course series
IBM IT Project Manager Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,11 course series
Generative AI with Large Language Models,4.8,Gain insight into a topic and learn the fundamentals.,3 modules
IBM Back-end JavaScript Developer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,11 course series
IBM iOS and Android Mobile App Developer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,14 course series
Generative AI for Software Development Skill Certificate,4.7,Earn a career credential that demonstrates your expertise,3 course series
IBM Front-End Developer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,11 course series
Business and Financial Modeling Specialization,4.5,Get in-depth knowledge of a subject,5 course series
Generative AI Fundamentals Specialization,4.7,Get in-depth knowledge of a subject,5 course series
Generative AI for Product Managers Specialization,4.5,Get in-depth knowledge of a subject,4 course series
Generative AI for Data Analysts Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Generative AI for Data Scientists Specialization,4.7,Get in-depth knowledge of a subject,3 course series
Ask Questions to Make Data-Driven Decisions,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Generative AI for Mobile App Developers Specialization,4.6,Get in-depth knowledge of a subject,4 course series
Generative AI for Software Developers Specialization,4.6,Get in-depth knowledge of a subject,3 course series
Project Initiation: Starting a Successful Project,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Generative AI for Human Resources (HR) Professionals Specialization,4.8,Get in-depth knowledge of a subject,3 course series
DeepLearning.AI Data Engineering Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,4 course series
Generative AI for Project Managers  Specialization,4.7,Get in-depth knowledge of a subject,3 course series
 IBM and ISC2 Cybersecurity Specialist Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,12 course series
IBM Java Developer Professional Certificate,4.9,Earn a career credential that demonstrates your expertise,11 course series
Generative AI for Data Engineers  Specialization,4.7,Get in-depth knowledge of a subject,3 course series
IBM Generative AI for Cybersecurity Professionals Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Generative AI for Customer Support  Specialization,4.9,Get in-depth knowledge of a subject,3 course series
Generative AI for Business Intelligence (BI) Analysts Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Foundations of User Experience (UX) Design,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
IBM IT Scrum Master Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,8 course series
Financial Markets,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
Play It Safe: Manage Security Risks,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
SAP Technology Consultant  Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,7 course series
Generative AI Automation Specialization,4.9,Get in-depth knowledge of a subject,4 course series
IBM Product Manager Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,7 course series
Agentic AI and AI Agents for Leaders Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Prompt Engineering Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Meta React Native Specialization,4.8,Get in-depth knowledge of a subject,8 course series
Generative AI Assistants Specialization,4.9,Get in-depth knowledge of a subject,3 course series
ChatGPT: Master Free AI Tools to Supercharge Productivity Specialization,4.9,Get in-depth knowledge of a subject,3 course series
Generative AI Leadership & Strategy Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Adobe Graphic Designer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,5 course series
Prompt Engineering for Law Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Generative AI Cybersecurity & Privacy for Leaders Specialization,4.9,Get in-depth knowledge of a subject,4 course series
"ChatGPT: Excel at Personal Automation with GPTs, AI & Zapier Specialization",4.9,Get in-depth knowledge of a subject,3 course series
Master Microsoft Office 365 and Power Platform  Specialization,4.6,Get in-depth knowledge of a subject,8 course series
HRCI Human Resource Associate Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,5 course series
Arizona State University TESOL Professional Certificate,4.9,Earn a career credential that demonstrates your expertise,8 course series
Become a CBRS Certified Professional Installer by Google,4.5,Gain insight into a topic and learn the fundamentals.,7 modules
Advanced Learning Algorithms,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
Prompt Engineering for Educators Specialization,4.9,Get in-depth knowledge of a subject,3 course series
AI Agents and Agentic AI in Python: Powered by Generative AI Specialization,4.9,Get in-depth knowledge of a subject,3 course series
ChatGPT for Project Management - Leveraging AI for Success Specialization,4.8,Get in-depth knowledge of a subject,3 course series
ChatGPT + Excel: AI-Enhanced Data Analysis & Insight Specialization,4.9,Get in-depth knowledge of a subject,3 course series
ChatGPT + Zapier: AI-Powered Email Mastery Specialization,4.9,Get in-depth knowledge of a subject,4 course series
Adobe Marketing Specialist Professional Certificate,4.9,Earn a career credential that demonstrates your expertise,5 course series
Generative AI and ChatGPT for K-12 Educators Specialization,4.9,Get in-depth knowledge of a subject,3 course series
Adobe Content Creator Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,4 course series
Microsoft 365 Fundamentals Specialization,4.7,Get in-depth knowledge of a subject,3 course series
Meta Android Developer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,12 course series
Meta Back-End Developer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,9 course series
Google Business Intelligence Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,3 course series
Natural Language Processing Specialization,4.6,Get in-depth knowledge of a subject,4 course series
IBM Cybersecurity Analyst Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,14 course series
Meta iOS Developer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,12 course series
Foundations of Positive Psychology  Specialization,4.8,Get in-depth knowledge of a subject,5 course series
Microsoft Business Analyst Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,6 course series
Introduction to Psychology ,4.9,Gain insight into a topic and learn the fundamentals.,7 modules
Connect and Protect: Networks and Network Security,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Prepare Data for Exploration,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
"BI Foundations with SQL, ETL and Data Warehousing Specialization",4.6,Get in-depth knowledge of a subject,5 course series
IBM Data Architecture  Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,13 course series
Attract and Engage Customers with Digital Marketing,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
The Bits and Bytes of Computer Networking,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Meta Database Engineer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,9 course series
Project Planning: Putting It All Together,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Google Agile Essentials,4.7,Gain insight into a topic and learn the fundamentals.,7 modules
IBM IT Support  Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,9 course series
Neural Networks and Deep Learning,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
Business Analytics Specialization,4.6,Get in-depth knowledge of a subject,5 course series
IBM Data Warehouse Engineer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,9 course series
Indigenous Canada,4.8,Gain insight into a topic and learn the fundamentals.,12 modules
Writing in the Sciences,4.9,Gain insight into a topic and learn the fundamentals.,8 modules
"TESOL Certificate, Part 1: Teach English Now! Specialization",4.9,Get in-depth knowledge of a subject,4 course series
DeepLearning.AI TensorFlow Developer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,4 course series
Information Technology (IT) and Cloud Fundamentals Specialization,4.8,Get in-depth knowledge of a subject,6 course series
Generative AI Engineering with LLMs Specialization,4.5,Get in-depth knowledge of a subject,7 course series
Data Analysis and Presentation Skills: the PwC Approach Specialization,4.7,Get in-depth knowledge of a subject,5 course series
"DevOps, Cloud, and Agile Foundations Specialization",4.8,Get in-depth knowledge of a subject,3 course series
Excel Skills for Business Specialization,4.9,Get in-depth knowledge of a subject,4 course series
IBM Project Manager  Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,8 course series
Digital Product Management Specialization,4.8,Get in-depth knowledge of a subject,5 course series
ADP Entry-Level Payroll Specialist Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,5 course series
Workday Basics Series,4.8,Gain insight into a topic and learn the fundamentals.,2 modules
Getting started with Google Workspace Specialization,4.7,Get in-depth knowledge of a subject,9 course series
"Start the UX Design Process: Empathize, Define, and Ideate",4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Introduction to Healthcare,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
Microsoft Cloud Support Associate Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,12 course series
Digital Marketing Specialization,4.6,Get in-depth knowledge of a subject,7 course series
Agile Project Management,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
IBM Applied DevOps Engineering Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,9 course series
Process Data from Dirty to Clean,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Regulatory Compliance Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Meta Marketing Analytics Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,8 course series
Microsoft IT Support Specialist Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,6 course series
Tools of the Trade: Linux and SQL,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Business Strategy Specialization,4.8,Get in-depth knowledge of a subject,5 course series
Graphic Design Specialization,4.7,Get in-depth knowledge of a subject,5 course series
Leading the Modern Day Business Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Cloud Application Development Foundations Specialization,4.6,Get in-depth knowledge of a subject,5 course series
Cybersecurity Fundamentals Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Project Execution: Running the Project,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Medical Billing and Coding Fundamentals Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Learn SQL Basics for Data Science Specialization,4.5,Get in-depth knowledge of a subject,3 course series
"IBM Deep Learning with PyTorch, Keras and Tensorflow  Professional Certificate",4.5,Earn a career credential that demonstrates your expertise,5 course series
Preparing for Google Cloud Certification: Cloud Architect Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,6 course series
Construction Management Specialization,4.8,Get in-depth knowledge of a subject,5 course series
Entrepreneurship Specialization,4.8,Get in-depth knowledge of a subject,5 course series
Supply Chain Management Specialization,4.8,Get in-depth knowledge of a subject,5 course series
Preparing for Google Cloud Certification: Cloud Engineer Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,5 course series
The Science of Well-Being,4.9,Gain insight into a topic and learn the fundamentals.,10 modules
Fintech: Foundations & Applications of Financial Technology Specialization,4.6,Get in-depth knowledge of a subject,4 course series
AI Python for Beginners,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Microsoft Cybersecurity Analyst Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,9 course series
Architecting with Google Compute Engine Specialization,4.7,Get in-depth knowledge of a subject,5 course series
Pharmacy Technician Fundamentals Specialization,4.7,Get in-depth knowledge of a subject,4 course series
"Unsupervised Learning, Recommenders, Reinforcement Learning",4.9,Gain insight into a topic and learn the fundamentals.,3 modules
Introduction to Statistics,4.6,Gain insight into a topic and learn the fundamentals.,12 modules
Microsoft Project Management  Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,9 course series
Reinforcement Learning Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Meta Data Analyst Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,5 course series
Google Cloud Cybersecurity Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,5 course series
Psychological First Aid,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Analyze Data to Answer Questions,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Improve Your English Communication Skills Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Product Management Certification Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Operating Systems and You: Becoming a Power User,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Financial Engineering and Risk Management Specialization,4.6,Get in-depth knowledge of a subject,5 course series
Private Equity and Venture Capital,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Preparing for Google Cloud Certification: Machine Learning Engineer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,7 course series
Algorithms Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Certified in Cybersecurity Specialization,4.7,Get in-depth knowledge of a subject,5 course series
Personal Branding: Stand Out and Succeed ,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Mergers and Acquisitions  Specialization,4.6,Get in-depth knowledge of a subject,6 course series
Introduction to Programming with Python and Java Specialization,4.4,Get in-depth knowledge of a subject,4 course series
From Likes to Leads: Interact with Customers Online,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
AI for Medicine Specialization,4.7,Get in-depth knowledge of a subject,3 course series
Think like a CFO Specialization,4.8,Get in-depth knowledge of a subject,4 course series
AI Fundamentals for Non-Data Scientists,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Capstone: Applying Project Management in the Real World,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
Microsoft Excel Professional Certificate,4.1,Earn a career credential that demonstrates your expertise,4 course series
Data Analysis with R Programming,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Salesforce Sales Operations Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,4 course series
Strategic Leadership and Management Specialization,4.8,Get in-depth knowledge of a subject,7 course series
The Business of Health Care Specialization,4.7,Get in-depth knowledge of a subject,4 course series
"Assets, Threats, and Vulnerabilities",4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Machine Learning in Production,4.8,Gain insight into a topic and learn the fundamentals.,3 modules
AWS Cloud Solutions Architect  Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,4 course series
Amazon Junior Software Developer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,7 course series
"Python for Data Science, AI & Development",4.6,Gain insight into a topic and learn the fundamentals.,5 modules
Epic Games Game Design Professional Certificate,4.2,Earn a career credential that demonstrates your expertise,8 course series
Google Cloud Digital Leader Training Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,6 course series
Preparing for Google Cloud Certification: Cloud Developer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,8 course series
Search Engine Optimization (SEO) Specialization,4.7,Get in-depth knowledge of a subject,5 course series
Preparing for Google Cloud Certification: Cloud Security Engineer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,14 course series
Preparing for Google Cloud Certification: Cloud DevOps Engineer Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,5 course series
Foundations of Management Specialization,4.7,Get in-depth knowledge of a subject,5 course series
Programming for Everybody (Getting Started with Python),4.8,Gain insight into a topic and learn the fundamentals.,7 modules
AWS Fundamentals Specialization,4.7,Get in-depth knowledge of a subject,3 course series
IBM Product Owner Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,6 course series
Google Cloud Data Analytics  Professional Certificate,4.5,Earn a career credential that demonstrates your expertise,5 course series
Tableau Business Intelligence Analyst  Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,8 course series
Linear Algebra for Machine Learning and Data Science,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Preparing for Google Cloud Certification: Cloud Network Engineer Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,11 course series
Crash Course on Python,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Share Data Through the Art of Visualization,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Bookkeeping Basics,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Project Management Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Google Cloud Database Engineer Specialization,4.7,Get in-depth knowledge of a subject,13 course series
Machine Learning on Google Cloud Specialization,4.6,Get in-depth knowledge of a subject,4 course series
"TESOL Certificate, Part 2: Teach English Now! Specialization",4.9,Get in-depth knowledge of a subject,4 course series
Stanford Introduction to Food and Health,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Medical Office Procedures and Administration Fundamentals Specialization,4.6,Get in-depth knowledge of a subject,3 course series
Agile Development Specialization,4.7,Get in-depth knowledge of a subject,4 course series
 System Administration and IT Infrastructure Services,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Workday in Action Series,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Microsoft Python Development  Professional Certificate,4.0,Earn a career credential that demonstrates your expertise,6 course series
AWS Cloud Technology Consultant Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,9 course series
The Materiality of ESG Factors Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Introduction to Cosmetic Science and Ingredients Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Prompt Engineering for ChatGPT,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
IBM Program Manager Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,6 course series
IBM Machine Learning Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,6 course series
DevOps on AWS Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Renew your CBRS Professional Installer certification,,Gain insight into a topic and learn the fundamentals.,7 modules
Build Wireframes and Low-Fidelity Prototypes,4.9,Gain insight into a topic and learn the fundamentals.,3 modules
AWS Cloud Support Associate Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,7 course series
Entrepreneurship: Growing Your Business Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Mental Health Care Fundamentals Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,5 course series
Intellectual Property Law Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Management of Fashion and Luxury Companies,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",4.9,Gain insight into a topic and learn the fundamentals.,3 modules
Business Analytics with Excel: Elementary to Advanced,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Leadership Skills,4.9,Gain insight into a topic and learn the fundamentals.,7 modules
"Data Engineering, Big Data, and Machine Learning on GCP Specialization",4.6,Get in-depth knowledge of a subject,4 course series
Career Success Specialization,4.6,Get in-depth knowledge of a subject,10 course series
Google Data Analytics Capstone: Complete a Case Study,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Security in Google Cloud Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Introduction to Generative AI for Software Development,4.7,Gain insight into a topic and learn the fundamentals.,3 modules
English for Career Development,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Risk Management Specialization,4.6,Get in-depth knowledge of a subject,4 course series
IT Fundamentals for Cybersecurity Specialization,4.6,Get in-depth knowledge of a subject,4 course series
Sound the Alarm: Detection and Response,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
IBM Introduction to Machine Learning Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Preparatory Certificate in Finance and Financial Markets Specialization,4.7,Get in-depth knowledge of a subject,10 course series
Artificial Intelligence in Marketing,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Primeros Auxilios PsicolÃ³gicos (PAP),4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Human Resource Management: HR for People Managers Specialization,4.8,Get in-depth knowledge of a subject,5 course series
Mathematics for Machine Learning Specialization,4.6,Get in-depth knowledge of a subject,3 course series
Modern and Contemporary Art and Design Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Microsoft Power BI and Power Platform for Productivity Specialization,4.6,Get in-depth knowledge of a subject,10 course series
Data Science Specialization,4.5,Get in-depth knowledge of a subject,10 course series
Management Consulting Specialization,4.9,Get in-depth knowledge of a subject,5 course series
Python 3 Programming Specialization,4.8,Get in-depth knowledge of a subject,5 course series
Clinical Trials: Good Clinical Practice  Specialization,4.7,Get in-depth knowledge of a subject,3 course series
Data Structures and Algorithms Specialization,4.6,Get in-depth knowledge of a subject,6 course series
Introduction to Data Engineering,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,4.8,Gain insight into a topic and learn the fundamentals.,9 modules
Think Outside the Inbox: Email Marketing,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
AI in Education: Leveraging ChatGPT for Teaching,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Introduction to Financial Accounting,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Six Sigma Yellow Belt Specialization,4.7,Get in-depth knowledge of a subject,4 course series
UI / UX Design Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Instructional Design Foundations and Applications,4.0,Gain insight into a topic and learn the fundamentals.,5 modules
AI Infrastructure and Operations Fundamentals,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
AI Product Management Specialization,4.7,Get in-depth knowledge of a subject,3 course series
Data Science: Foundations using R Specialization,4.6,Get in-depth knowledge of a subject,5 course series
Automate Cybersecurity Tasks with Python,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
ISC2 Systems Security Certified Practitioner (SSCP),4.8,Earn a career credential that demonstrates your expertise,7 course series
 IT Security: Defense against the digital dark arts ,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
Connected Leadership,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Genomic Data Science Specialization,4.4,Get in-depth knowledge of a subject,6 course series
Introduction to Generative AI ,4.7,Gain insight into a topic and learn the fundamentals.,1 module
Introduction to Systematic Review and Meta-Analysis,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Methods and Statistics in Social Sciences Specialization,4.6,Get in-depth knowledge of a subject,5 course series
Introduction to Data Analytics,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Fundamentals of Quantitative Modeling,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Microsoft Full-Stack Developer Professional Certificate,4.5,Earn a career credential that demonstrates your expertise,12 course series
Successful Negotiation: Essential Strategies and Skills,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
AI for Good Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Global Procurement and Sourcing Specialization,4.7,Get in-depth knowledge of a subject,7 course series
Game Theory,4.6,Gain insight into a topic and learn the fundamentals.,8 modules
Global Diplomacy â Diplomacy in the Modern World,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Drug Development Product Management Specialization,4.7,Get in-depth knowledge of a subject,3 course series
Business Value and Project Management Specialization,4.8,Get in-depth knowledge of a subject,6 course series
Principles of Management,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Conduct UX Research and Test Early Concepts,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Preparing  Data for Analysis with Microsoft Excel,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Put It to Work: Prepare for Cybersecurity Jobs,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
DeepLearning.AI Data Analytics Professional Certificate,5.0,Earn a career credential that demonstrates your expertise,5 course series
